0001     20010319       3968     32256       95445
8444     20010126       8961     45154       78887
8320     20091203       3452     84487       04878
1974     20050924       8879     00001       66474
6375     20111229       1514     63500       00001
9999     20090326       7926     25788       52310
6925     20100107       9774     96224       69966
2331     20020410       8324     99999       53878
2989     20050924       0733     55053       99999
6927     20120605       1490     04827       18804
6892     20020608       9242     02491       14474
1007     20030927       2919     20395       05812
6009     20141130       9168     97850       30114
0976     20180702       7009     93041       91916
1927     20020103       3533     17945       06253
4015     20141214       1056     34930       66941
0926     20130726       0722     26541       92757
2134     20120715       8350     41723       73860
4782     20071216       0817     55866       43792
1167     20120730       2926     20541       93733
7719     20060824       9359     26896       87232
3512     20060208       4755     82713       31204
8409     20130523       7828     59912       04768
1192     20080131       1079     66594       52200
3616     20150802       3097     97553       40351
1541     20110426       2042     79930       35733
7794     20060314       4387     30246       50555
7836     20041201       1846     77651       69728
2127     20101123       7563     32737       94658
5485     20070331       4141     44573       41961
6086     20150831       9489     08908       71170
9316     20060530       8889     43801       24526
1092     20010304       0853     74355       08345
1540     20041223       1012     30107       66961
3851     20170321       7282     85211       19001
1273     20060816       3884     88294       07384
0322     20131009       5232     33481       32615
9520     20060305       2025     66676       44409
0481     20150515       8978     57223       57296
0969     20120515       2798     08102       60195
